1040 | 00:34:47 | Agent:   9.5% (  2.2%) | Market:   1.3% (  4.1%) | Wins: 44.0% | eps:  0.000
1050 | 00:43:33 | Agent:   9.1% ( -0.3%) | Market:   1.1% (  4.5%) | Wins: 40.0% | eps:  0.000
1060 | 00:52:17 | Agent:   9.3% (  7.5%) | Market:   2.2% (  8.3%) | Wins: 41.0% | eps:  0.000
1070 | 01:02:17 | Agent:   8.9% (  1.3%) | Market:   2.7% ( -0.5%) | Wins: 38.0% | eps:  0.000
1080 | 01:11:04 | Agent:   1.7% (  8.4%) | Market:   2.9% (  3.6%) | Wins: 40.0% | eps:  0.000
1090 | 01:19:52 | Agent:   1.8% ( -0.2%) | Market:   2.5% (  0.6%) | Wins: 43.0% | eps:  0.000
1100 | 01:28:45 | Agent:   1.8% (  4.1%) | Market:   3.6% (  9.0%) | Wins: 42.0% | eps:  0.000
1110 | 00:08:55 | Agent:   4.2% ( 24.2%) | Market:   3.6% (  0.7%) | Wins: 43.0% | eps:  0.000
1120 | 00:17:51 | Agent:   5.0% (  6.5%) | Market:   3.0% ( -2.7%) | Wins: 45.0% | eps:  0.000
1130 | 00:26:48 | Agent:   5.9% (  5.6%) | Market:   3.2% (  4.3%) | Wins: 45.0% | eps:  0.000
1140 | 00:35:50 | Agent:   6.3% (  6.2%) | Market:   3.6% (  7.8%) | Wins: 46.0% | eps:  0.000
1150 | 00:44:47 | Agent:   7.8% ( 14.9%) | Market:   3.4% (  2.6%) | Wins: 49.0% | eps:  0.000
1160 | 00:53:43 | Agent:   7.5% (  3.7%) | Market:   3.3% (  7.1%) | Wins: 46.0% | eps:  0.000
1170 | 01:02:41 | Agent:   8.0% (  6.4%) | Market:   3.2% ( -1.3%) | Wins: 46.0% | eps:  0.000
1180 | 01:11:36 | Agent:   7.0% ( -1.0%) | Market:   3.3% (  5.1%) | Wins: 43.0% | eps:  0.000
1190 | 01:20:33 | Agent:  11.9% ( 48.5%) | Market:   3.5% (  2.6%) | Wins: 41.0% | eps:  0.000
1200 | 01:29:30 | Agent:  11.9% (  4.3%) | Market:   2.9% (  2.7%) | Wins: 43.0% | eps:  0.000
1210 | 01:38:31 | Agent:   9.6% (  1.1%) | Market:   4.0% ( 11.4%) | Wins: 39.0% | eps:  0.000
1220 | 01:47:29 | Agent:   8.8% ( -1.9%) | Market:   3.9% ( -3.7%) | Wins: 39.0% | eps:  0.000
1230 | 01:56:26 | Agent:   8.3% (  0.5%) | Market:   3.3% ( -1.1%) | Wins: 41.0% | eps:  0.000
1240 | 02:05:25 | Agent:   8.0% (  3.8%) | Market:   2.4% ( -1.5%) | Wins: 43.0% | eps:  0.000
1250 | 02:14:23 | Agent:   6.7% (  1.9%) | Market:   2.3% (  1.3%) | Wins: 42.0% | eps:  0.000
1260 | 02:23:23 | Agent:   6.3% ( -0.3%) | Market:   1.6% (  0.5%) | Wins: 45.0% | eps:  0.000
1270 | 02:32:22 | Agent:   5.8% (  1.5%) | Market:   1.9% (  2.2%) | Wins: 45.0% | eps:  0.000
1280 | 02:41:21 | Agent:   6.3% (  3.4%) | Market:   1.6% (  2.0%) | Wins: 48.0% | eps:  0.000
1290 | 02:50:19 | Agent:   2.7% ( 13.1%) | Market:   1.7% (  3.7%) | Wins: 50.0% | eps:  0.000
1300 | 02:59:17 | Agent:   2.8% (  4.4%) | Market:   1.9% (  4.4%) | Wins: 49.0% | eps:  0.000
